# v13_5kw telemetry  length=25.0  window=20.0  min_clearance=1.5
island,gen,idx,fitness,status,P_mean,P_end,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1,0,1,1.0e9,clearance_reject,NaN,NaN,NaN,false,0.65,6,7,3,0.914,0.914,15.0,15.0,0.519,0.1,25.0,0.018974,0.01,0.88,1.0,0.913582,0.632456,2.988,6.0,-0.11,18.56,15.0,15.0,0.519,0.1
1,0,2,10.242,ok,2.92,1.72,2.27,false,2.34,13,6,2,1.491,1.491,0.7,1.7,0.699,0.517,25.0,0.01278,0.011608,0.667555,0.599726,1.490523,0.621718,2.24356,13.435913,0.355172,7.074586,0.664082,1.745346,0.69866,0.517455
1,0,3,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.48,9,5,2,2.128,1.5,15.6,17.4,0.17,0.711,25.0,0.023821,0.011734,0.756531,0.712225,2.128387,0.356101,2.733029,9.054623,-0.224953,14.806448,15.647996,17.418231,0.170072,0.71105
1,0,4,1.0e9,clearance_reject,NaN,NaN,NaN,false,0.92,9,5,2,1.896,1.5,12.0,18.6,0.907,0.705,25.0,0.013688,0.010586,0.536704,0.836613,1.896431,0.92768,2.527046,9.456987,-0.408605,0.843332,12.014329,18.570685,0.906717,0.705379
1,0,5,1.0e9,clearance_reject,NaN,NaN,NaN,false,0.89,7,7,2,0.982,0.982,1.5,11.1,0.562,0.379,25.0,0.014295,0.01053,1.289095,0.733047,0.981891,0.323747,3.229717,7.352579,0.277284,15.600769,1.502012,11.057303,0.562436,0.379435
1,0,6,1.0e9,clearance_reject,NaN,NaN,NaN,false,-2.49,14,6,2,1.285,1.285,16.5,3.3,0.307,0.615,25.0,0.026476,0.011534,1.121746,0.928781,1.284784,0.883927,2.96569,13.721637,0.58814,12.247538,16.462607,3.284944,0.307285,0.614694
1,0,7,1.0e9,clearance_reject,NaN,NaN,NaN,false,1.06,3,6,2,0.996,0.996,2.6,20.0,0.699,0.511,25.0,0.015618,0.014554,0.826441,1.190203,0.99639,0.927788,3.234265,3.421737,0.131726,1.599757,2.591921,20.000249,0.698754,0.511287
1,0,8,5.459,ok,4.19,2.72,90.44,false,7.0,6,5,1,1.337,1.337,11.5,3.1,0.732,0.975,25.0,0.009663,0.010796,0.725917,0.930243,1.336808,0.316273,3.712109,5.693487,-0.743872,6.410558,11.542103,3.086393,0.731738,0.974816
1,0,9,1.0e9,clearance_reject,NaN,NaN,NaN,false,-1.34,7,5,2,1.232,1.232,16.3,21.2,0.377,0.518,25.0,0.012624,0.011413,0.892123,0.855108,1.232341,0.520678,3.97329,6.530598,-0.347853,15.450987,16.268161,21.161055,0.377359,0.5179
1,0,10,5.181,ok,4.17,2.69,2.08,false,5.24,12,6,2,1.751,1.5,18.1,9.9,0.698,0.093,25.0,0.026475,0.014646,1.221675,0.626234,1.751358,0.487773,2.418565,12.168023,-0.534672,17.637366,18.080918,9.91502,0.698233,0.09312
