t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,4.343212,0.001591,0.000285,0.0016,1451.254,281.793,1799.134,46.423,-112.511,6.622,328.748,1808.813
0.0100,4.343182,0.002006,0.000329,0.0019,1450.751,275.290,1958.131,46.423,-278.514,-154.445,321.162,1969.120
0.0200,4.343190,0.003248,0.000433,0.0025,1450.254,276.903,1570.997,46.423,109.737,218.944,323.045,1580.445
0.0300,4.343089,0.005304,0.000517,0.0030,1450.024,255.057,1820.498,46.423,-161.840,-36.456,297.561,1830.366
0.0400,4.343100,0.008226,0.000642,0.0037,1449.936,257.344,1502.139,46.423,158.717,264.874,300.230,1509.835
0.0500,4.343141,0.012085,0.000765,0.0044,1449.825,266.289,2087.507,46.423,-417.816,-274.052,310.666,2099.388
0.0600,4.343194,0.016905,0.000905,0.0052,1449.703,277.756,1690.521,46.423,-9.485,103.227,324.045,1700.389
0.0700,4.343222,0.022642,0.001022,0.0059,1449.517,283.858,2115.823,46.423,-428.872,-295.861,331.165,2126.897
0.0800,4.343142,0.029369,0.001162,0.0067,1449.767,266.598,1518.461,46.423,151.482,245.449,311.033,1526.342
0.0900,4.343161,0.037154,0.001299,0.0074,1449.988,270.708,1796.153,46.423,-121.880,8.853,315.830,1806.757
0.1000,4.343093,0.045907,0.001413,0.0081,1450.541,255.824,1682.662,46.423,-22.720,97.957,298.469,1692.738
0.1100,4.343199,0.055526,0.001551,0.0089,1450.827,278.866,1798.463,46.423,-115.194,8.643,325.352,1807.974
0.1200,4.343162,0.066042,0.001677,0.0096,1451.412,270.886,1935.573,46.423,-259.698,-139.985,316.046,1945.210
0.1300,4.343249,0.077440,0.001821,0.0104,1451.817,289.827,1786.625,46.423,-91.404,28.430,338.146,1796.887
0.1400,4.343180,0.089592,0.001905,0.0109,1452.495,274.923,1928.321,46.423,-247.326,-119.383,320.763,1939.690
0.1500,4.343190,0.102414,0.002021,0.0116,1453.213,276.925,1590.441,46.423,93.274,198.686,323.101,1598.696
0.1600,4.343148,0.115940,0.002117,0.0121,1454.113,267.938,1853.754,46.423,-178.127,-53.062,312.620,1863.623
0.1699,4.343181,0.130163,0.002241,0.0128,1455.016,275.097,1683.525,46.423,0.164,118.626,320.975,1693.239
